Artist,Song
Edwyn Collins,A Girl Like You
Jake Bugg,All I Need
Cake,The Distance
No Vacation,Yam Yam
Modest Mouse,Dashboard
Sure Sure,This Must Be The Place
Caroline Polachek,So Hot You're Hurting My Feelings
Mott The Hoople,All the Young Dudes
The Cure,A Forest
Caesars,Jerk It Out
The Verve,The Drugs Don't Work
Elliott Smith,Between the Bars
Gary Numan,Cars
White Town,Your Woman
Primal Scream,Movin' on Up
Kurt Vile,Pretty Pimpin
Sonic Youth,Teen Age Riot (Album Version)
Crystal Castles,Vanished
BENEE,Find an Island
Chet Faker,Whatever Tomorrow
The Lemonheads,Mrs. Robinson - Remastered
The Shins,Australia
Lucy Dacus,Hot & Heavy
The National,Light Years
Cocteau Twins,Heaven Or Las Vegas
Nico,These Days
Lucy Dacus,Night Shift
Roosevelt,Strangers
KennyHoopla,how will i rest in peace if i'm buried by a highway?//
The Brian Jonestown Massacre,Anemone
Charlotte Day Wilson,Take Care of You (feat. Syd)
beabadoobee,Last Day On Earth
Jayda G,Both Of Us - Edit
Slowdive,When the Sun Hits
Fake Blood,I Think I Like It
Glass Animals,Your Love (Déjà Vu)
Lianne La Havas,Paper Thin
Radiohead,Just
Jessie Ware,Please - Single Edit
James,Sit Down
The Zombies,She's Not There
HEALTH,ISN’T EVERYONE
chloe moriondo,Bodybag
Sarcastic Sounds,say goodbye
The Lemonheads,Mrs. Robinson
Crumb,Ghostride
Sharon Van Etten,Seventeen
The Wombats,Moving to New York
Sure Sure,Funky Galileo
Arctic Monkeys,Fake Tales Of San Francisco
The Velvet Underground,Sweet Jane
Beach Bunny,Good Girls (Don't Get Used)
Kasabian,Underdog
Cigarettes After Sex,Crush
Omar Apollo,Ugotme
C. Diab,Love
Christine and the Queens,"People, I've been sad"
Aldous Harding,The Barrel
Jake Bugg,Lost
The Black Keys,Tighten Up
Editors,Munich
Franz Ferdinand,Do You Want To
Massive Attack,Paradise Circus
Portishead,Roads
The Chemical Brothers,The Darkness That You Fear - Edit
The Avalanches,The Divine Chord
Them,Gloria - Stereo Version
Remi Wolf,Monte Carlo
Circa Waves,T-Shirt Weather
RJD2,Ghostwriter
COIN,Dream House
Soccer Mommy,circle the drain
Radiohead,15 Step
Young the Giant,My Body
Jake Bugg,Lightning Bolt
The Naked And Famous,Punching In A Dream
Cavetown,Ur Gonna Wish U Believed Me
Cuco,Forevermore
Polo & Pan,Feel Good
Interpol,Obstacle 1
slowthai,feel away (feat. James Blake & Mount Kimbie)
HAIM,Gasoline
The Stone Roses,Waterfall - Remastered
Kaiser Chiefs,Ruby
Razorlight,Golden Touch - Full Length
Weyes Blood,Andromeda
Will Paquin,Chandelier
Blur,Tender
Petit Biscuit,Problems
The Shins,Simple Song
Noname,Rainforest
Grimes,Violence
Imogen Heap,Hide and Seek
Poolside,I Feel High (with DRAMA)
The Vines,Get Free
Solomun,Tuk Tuk (feat. ÄTNA)
Alvvays,"Archie, Marry Me"
Bea Miller,FEEL SOMETHING DIFFERENT
Molchat Doma,Танцевать
Agnes Obel,September Song
JP Saxe,The Few Things
Echo & the Bunnymen,The Killing Moon
The Undertones,Teenage Kicks
Kings of Leon,Molly's Chambers
Damien Rice,9 Crimes
Blur,Parklife
Grimes,Delete Forever
Julien Baker,Souvenir
Foals,The Runner
The Flaming Lips,"Yoshimi Battles the Pink Robots, Pt. 1"
Hole,Malibu
Angel Olsen,Shut Up Kiss Me
Ólafur Arnalds,Loom (feat. Bonobo)
Ben Howard,I Forget Where We Were
chloe moriondo,I Eat Boys
The Killers,Caution
Celeste,Tonight Tonight
Arlo Parks,Too Good
Destroy Boys,Crybaby
Fleet Foxes,Sunblind
Jayda G,All I Need (DJ-Kicks) - Edit
Roxy Music,Love Is The Drug
St. Vincent,The Melting Of The Sun
The Specials,Ghost Town
Mother Mother,Forgotten Souls
Kate Nash,Foundations
HAIM,The Wire
Plastic Bertrand,Ça Plane Pour Moi
Black Rebel Motorcycle Club,Spread Your Love
Sex Pistols,Anarchy In The UK
Jamie T,Sticks 'N' Stones
Catfish and the Bottlemen,Longshot
Sufjan Stevens,To Be Alone With You
Chet Faker,Get High
Goth Babe,Moments / Tides
Bombay Bicycle Club,Shuffle
Rhye,Come In Closer
my bloody valentine,When You Sleep
Justice,We Are Your Friends - Justice Vs Simian
King Gizzard & The Lizard Wizard,Work This Time
Yuno,No Going Back
The Subways,Rock & Roll Queen
Verzache,All I Need
Fruit Bats,Humbug Mountain Song
Adam Melchor,Moon in the Morning
Cannons,Bad Dream
Biig Piig,Oh No
Wallice,Hey Michael
Alfie Templeman,Things I Thought Were Mine
The Strokes,What Ever Happened?
Unknown Mortal Orchestra,Swim and Sleep (Like a Shark)
The Cure,The Lovecats
Jade Bird,Headstart
James Blake,Are You Even Real?
The Hoosiers,Goodbye Mr A
DARKSIDE,The Limit
Arlo Parks,Caroline
Hot Chip,Ready For The Floor
The Velvet Underground,Rock & Roll
Siouxsie and the Banshees,The Passenger
Joy Division,Love Will Tear Us Apart - 2010 Remaster
Metric,Help I'm Alive
L7,Pretend We're Dead
Wolf Alice,The Last Man on Earth
Manic Street Preachers,Motorcycle Emptiness
Plustwo,Melody (1983 Club Vinyl Mix)
Charlie Burg,Lancaster Nights
HAIM,Now I'm In It - Bonus Track
Polo & Pan,Ani Kuni - Edit
JAWNY,Best Thing
Arlo Parks,Hurt
Primal Scream,Rocks
The Stooges,I Wanna Be Your Dog
The Charlatans,The Only One I Know
Wolf Alice,Smile
Modest Mouse,Lampshades on Fire
Cigar Cigarette,Time After Time
The Stone Roses,Love Spreads
Slowdive,Alison
Yves Tumor,Gospel For A New Century
The Flaming Lips,She Don't Use Jelly
Of Monsters and Men,Alligator
Pulp,Babies
Slowdive,Sugar for the Pill
Kate Bush,Running Up That Hill (A Deal With God) - 2018 Remaster
The Japanese House,Dionne (feat. Justin Vernon)
Faces,Ooh La La - 2015 Remaster
LCD Soundsystem,Daft Punk Is Playing at My House
José González,El Invento
David Bowie,The Jean Genie - 2013 Remaster
XTC,Making Plans For Nigel
TV On The Radio,Happy Idiot
Joe Jackson,Is She Really Going Out With Him?
KiNG MALA,she calls me daddy
The Jungle Giants,In Her Eyes
LCD Soundsystem,Someone Great
Cautious Clay,Wildfire
Grimes,4ÆM
A. G. Cook,Xcxoplex (with Charli XCX)
The Velvet Underground,Rock and Roll - Full Length Version; 2015 Remaster
Caroline Polachek,Door
Tom Odell,money
Kings of Leon,Radioactive
Alfie Templeman,Everybody’s Gonna Love Somebody - Edit
Jensen McRae,Immune
Big Thief,Shark Smile - Edit
my bloody valentine,only shallow
Blossoms,Your Girlfriend
Flight Facilities,Lights Up (feat. Channel Tres)
Beck,Dreams
Future Islands,For Sure
Tkay Maidza,Where Is My Mind?
Fred again..,Angie (I’ve Been Lost)
Glass Animals,It’s All So Incredibly Loud
Yves Tumor,Kerosene!
Cigarettes After Sex,Touch
TV On The Radio,Wolf Like Me
Squeeze,Tempted
Noga Erez,End of the Road
Adrianne Lenker,anything
boy pablo,wachito rico
Electric Six,Danger! High Voltage - Soulchild Radio Mix
Yo La Tengo,Autumn Sweater
SEB,seaside_demo
Leonard Cohen,"So Long, Marianne"
Christine and the Queens,Tilted
Prateek Kuhad,cold/mess
IC3PEAK,Плак-Плак
boylife,peas
St. Vincent,Pay Your Way In Pain
Ed Maverick,"niño,"
The Voidz,Leave It In My Dreams
Pixies,Wave of Mutilation
BENEE,Happen To Me
St. Vincent,Down
The Strokes,Juicebox
Khruangbin,Summer Madness
The 1975,Tonight (I Wish I Was Your Boy)
BENEE,Kool
chloe moriondo,Bugbear
Maximo Park,Books From Boxes
Bloc Party,Helicopter
S. Carey,Rose Petals
Nick Drake,One Of These Things First
Years & Years,Starstruck - Vegyn Remix
The Easybeats,Friday On My Mind
The Psychedelic Furs,Pretty in Pink
Gerry Cinnamon,Where We're Going
Arcade Fire,Reflektor
Bryan Ferry,Let's Stick Together
Jamie T,Zombie
Washed Out,Too Late
Bibio,Petals
Golden Vessel,Hesitate
Kavinsky,Nightcall
SAULT,Why Why Why Why Why
mxmtoon,creep
Elvis Costello,Alison
Goth Babe,I Wanna Help Your Mind
The Modern Lovers,Roadrunner
Inhaler,Cheer Up Baby
Little Dragon,The Other Lover (Little Dragon & Moses Sumney)
Jazmine Sullivan,Price Tags (feat. Anderson .Paak) - kryptogram Remix
Gaspard Augé,Force majeure
Martha and the Muffins,Echo Beach
Roosevelt,See You Again
Jelani Aryeh,Marigold
Samia,Big Wheel
Yung Bae,Woman On The Moon (feat. UPSAHL)
Arcade Fire,Ready to Start
Jacob Banks,Devil That I Know
easy life,skeletons
Pavement,Cut Your Hair
Soccer Mommy,Your Dog
Josh Fudge,FEEL LIKE
HAIM,The Steps
PJ Harvey,Down By The Water
Ocean Colour Scene,The Day We Caught The Train
Crumb,Gone
Arlo Parks,Green Eyes
The View,Same Jeans
Paul McCartney,Seize The Day (feat. Phoebe Bridgers)
The Sonics,Have Love Will Travel
M|O|O|N,Dust
Remi Wolf,Woo!
The Head And The Heart,Rivers And Roads
Tame Impala,Alter Ego - 2020 Mix
Orla Gartland,More Like You
Alfie Templeman,"Wait, I Lied"
Toro y Moi,Ordinary Pleasure
Beck,Up All Night
Sundara Karma,Flame
Siouxsie and the Banshees,Spellbound
alt-J,Tessellate
Elliott Smith,Angeles
Ethan Tasch,Room
Kings of Leon,The Bucket
Blur,Beetlebum - 2012 Remaster
Oasis,Live Forever
Purity Ring,Fineshrine
London Grammar,Californian Soil
T. Rex,Cosmic Dancer
U2,I Will Follow
Romy,Lifetime
Daft Punk,Technologic
dodie,I Kissed Someone (It Wasn't You)
Дурной Вкус,Пластинки
Cavetown,Sharpener
Gus Dapperton,First Aid
Garbage,Stupid Girl
beabadoobee,She Plays Bass
The Bravery,Believe
St. Vincent,Los Ageless
Sam Gellaitry,Duo
young friend,PINCH ME
The Beta Band,Dry The Rain
Caroline Polachek,Breathless
The Velvet Underground,Heroin
The Hives,Walk Idiot Walk
Arcade Fire,Afterlife
Yoke Lore,Goodpain
Day Wave,Drag
Langhorne Slim,The Way We Move
Of Monsters and Men,Visitor
Beastie Boys,Sure Shot
Foals,Exits
Folamour,Lost In Space (feat. SG Lewis)
Local Natives,Lemon [Feat. Sharon Van Etten]
The Walkmen,The Rat
Japanese Breakfast,Posing In Bondage
Arlo Parks,Hope
Miles Kane,Come Closer
King Princess,PAIN
Julien Baker,Faith Healer
The Vaccines,Post Break-Up Sex
Lime Cordiale,On Our Own
The Bobby Fuller Four,I Fought the Law - Single Version
Cautious Clay,Dying in the Subtlety
Myd,We Found It
Foster The People,Lamb's Wool (with Poolside)
Jelani Aryeh,From These Heights
OCTAVIO the Dweeb,Someday I'll Be Happy
Phoenix,"Identical - From The Motion Picture ""On The Rocks"""
Fred again..,Dermot (See Yourself In My Eyes)
COIN,Sprite
Sylvan Esso,Ferris Wheel
Chiiild,Pirouette
Circa Waves,Lemonade
Kings of Leon,On Call
Ritt Momney,Set The Table (feat. Claud)
The Kinks,Lola - Remastered
Little Dragon,Another Lover
Orion Sun,Ne Me Quitte Pas (Don't Leave Me)
Wolf Alice,Bros
Hard-FI,Hard to Beat
Maximo Park,Apply Some Pressure
Perturbator,Future Club
Deftones,Ohms
Tommy James & The Shondells,Crimson & Clover
Ichon,La vie
The Shins,Phantom Limb
Molchat Doma,На Дне
Radiohead,Burn the Witch
chloe moriondo,Dreams
Arcade Fire,No Cars Go
Jeff Buckley,Grace
José González,Visions
The White Stripes,My Doorbell
Taken By Trees,Sweet Child O' Mine
Ryan Beatty,Evergreen
Snail Mail,Pristine
The Bravery,An Honest Mistake
Bon Iver,PDLIF
Blur,Country House - 2012 Remaster
Arlo Parks,Black Dog
Black Rebel Motorcycle Club,Beat the Devil's Tattoo
Spoon,I Turn My Camera On
Siouxsie and the Banshees,Hong Kong Garden
Death Cab for Cutie,Soul Meets Body
Built To Spill,Carry the Zero
Wilco,Heavy Metal Drummer
Perfume Genius,Otherside
Frank Carter & The Rattlesnakes,My Town (feat. Joe Talbot)
Shallou,You and Me
Gus Dapperton,Medicine
Paul McCartney,Pretty Boys (feat. Khruangbin)
Reverend And The Makers,Heavyweight Champion of the World
The Happy Fits,Hold Me Down
The Chemical Brothers,Let Forever Be
James Blake,The First Time Ever I Saw Your Face
Sad Night Dynamite,Krunk
Eels,Novocaine For The Soul
The Libertines,Time For Heroes
Slush Puppy,Juliette
Yoke Lore,Seeds
Pixies,Gigantic
CHVRCHES,He Said She Said
The Beatles,Tomorrow Never Knows - Remastered
Sofi Tukker,Swing - Mahmut Orhan Remix
The Wannadies,You & Me Song
Lewis Del Mar,Painting (Masterpiece)
The Snuts,Glasgow
Ash,Girl From Mars
The Futureheads,Hounds of Love
The Cramps,Human Fly
Georgia,Running Up That Hill
Junior Varsity,Cold Blood
Tirzah,Send Me
Kilo Kish,NICE OUT
The Pigeon Detectives,Take Her Back
Sam Sparro,Black & Gold
Yellow Days,The Way Things Change
Faye Webster,Cheers
Angelo De Augustine,Santa Barbara
The 1975,Jesus Christ 2005 God Bless America
The Jungle Giants,Treat You Right
Beach Bunny,Blame Game
The Fratellis,Chelsea Dagger
The Vaccines,Headphones Baby
Tash Sultana,Blame It On Society
Vampire Weekend,Oxford Comma
The Black Keys,Everlasting Light
Grouplove,Deadline
The National,Bloodbuzz Ohio
Franz Ferdinand,Walk Away
Rhye,Safeword
Cold War Kids,Hang Me Up To Dry
Scissor Sisters,Take Your Mama
Rise Against,"Broken Dreams, Inc."
New West,Next to You
Editors,Papillon
Death Cab for Cutie,I Will Possess Your Heart
sammy rash,summer&cigarettes
Au/Ra,Bite Marks
Foo Fighters,Chasing Birds
Bomba Estéreo,Deja
FKA twigs,mary magdalene
Oasis,Whatever
Grimes,So Heavy I Fell Through the Earth - Art Mix
Fiona Apple,Under The Table
Mystery Jets,Young Love (feat. Laura Marling)
Julian Casablancas,11th Dimension
Paul McCartney,Find My Way (feat. Beck)
Rolling Blackouts Coastal Fever,French Press
Cocteau Twins,Lorelei
Fontaines D.C.,Boys In the Better Land
Waxahatchee,Fire
CASTLEBEAT,80's High School
Ocean Colour Scene,The Riverboat Song
Mickey Darling,Reverse Cowgirl
Florence + The Machine,South London Forever
OK Go,Get Over It
Gossip,Standing In the Way of Control
Car Seat Headrest,Fill in the Blank
Fleece,Do U Mind? (Leave the Light On)
Albert Hammond Jr,Set to Attack
Miike Snow,Animal
Del Water Gap,Ode to a Conversation Stuck in Your Throat
The Black Keys,Gotta Get Away
The Kills,Future Starts Slow
Crumb,BNR
Soccer Mommy,yellow is the color of her eyes
lentra,o shit!
Hayley Williams,Over Those Hills
IDLES,Never Fight A Man With A Perm
The Strokes,The End Has No End
Bat For Lashes,Daniel
Tomberlin,Wasted
