Artist,Song,Popularity
Cage The Elephant,Social Cues,62.0
Passion Pit,Take a Walk,62.0
The Kooks,Naive,62.0
Grimes,4ÆM,62.0
Dayglow,Close To You,62.0
Siouxsie and the Banshees,Spellbound,61.0
Glass Animals,Your Love (Déjà Vu),61.0
Arctic Monkeys,Fake Tales Of San Francisco,61.0
Hole,Malibu,61.0
Blur,Parklife,61.0
The Psychedelic Furs,Pretty in Pink,61.0
The Specials,Ghost Town,61.0
OK Go,Here It Goes Again,61.0
Queens of the Stone Age,I Sat By The Ocean,61.0
Broken Bells,The High Road,61.0
Klaxons,Golden Skans,61.0
Two Feet,Quick Musical Doodles,61.0
T. Rex,Bang A Gong [Get It On],61.0
The National,I Need My Girl,61.0
Gorillaz,Stylo (feat. Mos Def and Bobby Womack),61.0
The Clash,Train in Vain (Stand by Me) - Remastered,61.0
The White Stripes,Blue Orchid,61.0
New Order,Age of Consent - 2015 Remaster,61.0
Verzache,The Loser,61.0
Q,Take Me Where Your Heart Is,61.0
Glass Animals,Tangerine,61.0
TV On The Radio,Wolf Like Me,61.0
Slowdive,Alison,61.0
Blur,Coffee & TV,61.0
Death Cab for Cutie,Soul Meets Body,60.0
Franz Ferdinand,Do You Want To,60.0
The Sundays,Here's Where The Story Ends,60.0
The Fratellis,Chelsea Dagger,60.0
Generation X,Dancing With Myself,60.0
Yak,Fried,60.0
WILLOW,Time Machine,60.0
Fugazi,Waiting Room,60.0
Jayda G,Both Of Us - Edit,60.0
Silversun Pickups,Lazy Eye,60.0
The Drums,Lets Go Surfing,60.0
Arcade Fire,Wake Up,60.0
Thundercat,Dragonball Durag,60.0
Glass Animals,Life Itself,60.0
James Blake,Retrograde,60.0
The Byrds,Turn! Turn! Turn! (To Everything There Is a Season),60.0
Catfish and the Bottlemen,Longshot,60.0
Jane's Addiction,Jane Says,60.0
PawPaw Rod,HIT EM WHERE IT HURTS,60.0
Circa Waves,T-Shirt Weather,60.0
SEB,seaside_demo,60.0
Jake Bugg,Lightning Bolt,60.0
Freak Slug,Radio,60.0
James,Sit Down,60.0
Blur,Beetlebum - 2012 Remaster,60.0
Shelly,Natural,60.0
my bloody valentine,When You Sleep,60.0
The Naked And Famous,Punching In A Dream,60.0
TV On The Radio,Happy Idiot,59.0
Razorlight,Golden Touch - Full Length,59.0
Destroy Boys,Crybaby,59.0
The xx,Angels,59.0
The Vaccines,If You Wanna,59.0
Buzzcocks,Ever Fallen in Love (With Someone You Shouldn't've?) - 1996 Remastered Version,59.0
Tommy James & The Shondells,Crimson & Clover,59.0
Interpol,Obstacle 1,59.0
Pixies,Debaser,59.0
Fontaines D.C.,Boys In the Better Land,59.0
Big Thief,Shark Smile - Edit,59.0
Metric,Help I'm Alive,59.0
The Strokes,What Ever Happened?,59.0
Iggy Pop,Lust For Life,59.0
Angus & Julia Stone,Stay With Me - Live From Spotify Berlin,59.0
M83,Wait,59.0
Q,Alone,59.0
The 1975,Chocolate,59.0
Khruangbin,Time (You and I),59.0
The Kingsmen,Louie Louie,59.0
The White Stripes,The Hardest Button to Button,59.0
girl in red,Serotonin,59.0
Peach Pit,Tommy's Party,58.0
The xx,Crystalised,58.0
Future Islands,Seasons (Waiting On You),58.0
The Lemonheads,Mrs. Robinson - Remastered,58.0
Arcade Fire,Rebellion (Lies),58.0
The Marías,Hush,58.0
The Coral,Dreaming of You,58.0
Kasabian,Club Foot,58.0
Khruangbin,Midnight,58.0
Arlo Parks,Eugene,58.0
Steve Harley,Make Me Smile (Come up and See Me),58.0
Alvvays,"Archie, Marry Me",58.0
Julien Baker,Souvenir,58.0
Daughter,Youth,58.0
Yoke Lore,Truly Madly Deeply - Recorded at Spotify Studios NYC,58.0
The Cure,Close To Me,58.0
Molchat Doma,Танцевать,58.0
Sufjan Stevens,To Be Alone With You,58.0
PJ Harvey,Down By The Water,58.0
Fake Blood,I Think I Like It,58.0
Kasabian,Underdog,58.0
The Stone Roses,Waterfall - Remastered,58.0
Kaiser Chiefs,Ruby,58.0
Talking Heads,Take Me to the River,58.0
Mott The Hoople,All the Young Dudes,58.0
Vampire Weekend,This Life,58.0
Gary Numan,Cars,58.0
Sure Sure,This Must Be The Place,58.0
Modest Mouse,Dashboard,58.0
Kings of Leon,Molly's Chambers,58.0
The B-52's,Rock Lobster,58.0
The Lemonheads,Mrs. Robinson,58.0
Imogen Heap,Hide and Seek,57.0
Kaiser Chiefs,Everyday I Love You Less And Less,57.0
Justice,We Are Your Friends - Justice Vs Simian,57.0
JP Saxe,The Few Things,57.0
Paul McCartney,The Kiss Of Venus (Dominic Fike),57.0
HONNE,no song without you,57.0
Slowdive,Sugar for the Pill,57.0
Blind Faith,Can't Find My Way Home,57.0
Beastie Boys,Sure Shot,57.0
Elliott Smith,Angeles,57.0
Vampire Weekend,Harmony Hall,57.0
Arcade Fire,Everything Now,57.0
The Cure,A Forest,57.0
Biig Piig,Feels Right,57.0
Bombay Bicycle Club,Always Like This,57.0
Joji,Tick Tock,57.0
Miike Snow,Animal,57.0
Fitz and The Tantrums,The Walker,57.0
IDLES,Never Fight A Man With A Perm,57.0
Washed Out,Feel It All Around,57.0
Sonic Youth,Teen Age Riot (Album Version),57.0
Deftones,Ohms,57.0
Bloc Party,Banquet,57.0
100 gecs,money machine,57.0
Interpol,Rest My Chemistry,57.0
The Brian Jonestown Massacre,Anemone,57.0
Orion Sun,Ne Me Quitte Pas (Don't Leave Me),57.0
Beach Bunny,Good Girls (Don't Get Used),57.0
Ben Howard,I Forget Where We Were,57.0
Squeeze,Tempted,57.0
Gerry Cinnamon,Where We're Going,57.0
L7,Pretend We're Dead,57.0
Siouxsie and the Banshees,The Passenger,57.0
Yoke Lore,Seeds,56.0
Sam Sparro,Black & Gold,56.0
Rain Radio,Talk About,56.0
Lord Huron,Not Dead Yet,56.0
The Kills,Future Starts Slow,56.0
Pretenders,Brass in Pocket - 2006 Remaster,56.0
Molchat Doma,Люди Надоели,56.0
Blur,Country House - 2012 Remaster,56.0
Oasis,Whatever,56.0
070 Shake,Guilty Conscience,56.0
Lucy Dacus,Hot & Heavy,56.0
alt-J,Tessellate,56.0
Leonard Cohen,"So Long, Marianne",56.0
Sylvan Esso,Coffee,56.0
Oasis,Rock ‘n’ Roll Star - Remastered,56.0
SOPHIE,Ponyboy,56.0
Roxy Music,Love Is The Drug,56.0
Prateek Kuhad,cold/mess,56.0
Arcade Fire,Ready to Start,56.0
young friend,PINCH ME,56.0
Faye Webster,Better Distractions,56.0
The Shins,Simple Song,56.0
beabadoobee,She Plays Bass,56.0
Agnes Obel,September Song,56.0
